"filename", "language", "mcfunction", "JSON", "comment", "blank", "total"
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\archer\advancement\1_a.json", "JSON", 0, 33, 0, 1, 34
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\archer\advancement\2_a.json", "JSON", 0, 26, 0, 1, 27
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\archer\advancement\3_a.json", "JSON", 0, 33, 0, 1, 34
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\archer\advancement\4_a.json", "JSON", 0, 33, 0, 1, 34
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\archer\advancement\5_a.json", "JSON", 0, 26, 0, 1, 27
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\archer\advancement\6_a.json", "JSON", 0, 26, 0, 1, 27
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\archer\advancement\7_a.json", "JSON", 0, 26, 0, 1, 27
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\archer\advancement\bootlvl10_a.json", "JSON", 0, 29, 0, 1, 30
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\archer\advancement\bootlvl2_a.json", "JSON", 0, 29, 0, 1, 30
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\archer\advancement\bootlvl3_a.json", "JSON", 0, 26, 0, 1, 27
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\archer\advancement\bootlvl4_a.json", "JSON", 0, 29, 0, 1, 30
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\archer\advancement\bootlvl5_a.json", "JSON", 0, 26, 0, 1, 27
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\archer\advancement\bootlvl6_a.json", "JSON", 0, 29, 0, 1, 30
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\archer\advancement\bootlvl7_a.json", "JSON", 0, 26, 0, 1, 27
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\archer\advancement\bootlvl8_a.json", "JSON", 0, 29, 0, 1, 30
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\archer\advancement\bootlvl9_a.json", "JSON", 0, 26, 0, 1, 27
