"filename", "language", "mcfunction", "JSON", "comment", "blank", "total"
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\ctf\function\bossbar\bossbar_actualise.mcfunction", "mcfunction", -22, 0, -12, -14, -48
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\ctf\function\bossbar\objective_decount_timer.mcfunction", "mcfunction", -2, 0, -4, -2, -8
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\ctf\function\bossbar\refresh_timer.mcfunction", "mcfunction", -5, 0, -3, -5, -13
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\ctf\function\bossbar\remove_one_minute.mcfunction", "mcfunction", -2, 0, -1, -1, -4
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\ctf\function\capflag\cap_blueflag.mcfunction", "mcfunction", 1, 0, 1, 1, 3
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\ctf\function\capflag\cap_redflag.mcfunction", "mcfunction", 1, 0, 1, 0, 2
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\ctf\function\dropflag\dropflag_blueflag.mcfunction", "mcfunction", 1, 0, 1, 1, 3
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\ctf\function\dropflag\dropflag_redflag.mcfunction", "mcfunction", 1, 0, 1, 1, 3
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\ctf\function\end_game\end_game.mcfunction", "mcfunction", -22, 0, 1, 0, -21
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\ctf\function\loop.mcfunction", "mcfunction", -17, 0, -9, -2, -28
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\ctf\function\poseflag\poseflag_blueflag.mcfunction", "mcfunction", 1, 0, 1, 2, 4
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\ctf\function\poseflag\poseflag_redflag.mcfunction", "mcfunction", 5, 0, 4, 4, 13
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\ctf\function\respawns\bossbar\refreshbossbar.mcfunction", "mcfunction", 4, 0, 3, 2, 9
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\ctf\function\respawns\no_more_respawn_time.mcfunction", "mcfunction", 1, 0, 0, 0, 1
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\ctf\function\respawns\respawn.mcfunction", "mcfunction", 0, 0, 0, 2, 2
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\ctf\function\timer\objective_decount_timer.mcfunction", "mcfunction", 2, 0, 4, 2, 8
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\ctf\function\timer\refresh_timer.mcfunction", "mcfunction", 12, 0, 10, 10, 32
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\ctf\function\timer\timer_actualise\green.mcfunction", "mcfunction", 4, 0, 2, 1, 7
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\ctf\function\timer\timer_actualise\red.mcfunction", "mcfunction", 4, 0, 2, 1, 7
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\ctf\function\timer\timer_actualise\timer_actualise.mcfunction", "mcfunction", 31, 0, 5, 12, 48
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\ctf\function\timer\timer_actualise\yellow.mcfunction", "mcfunction", 4, 0, 2, 1, 7
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\ctf\function\usespellwithflag\usespell_blueflag.mcfunction", "mcfunction", 1, 0, 1, 1, 3
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\ctf\function\usespellwithflag\usespell_redflag.mcfunction", "mcfunction", 1, 0, 1, 1, 3
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\arena\cant_join\no_class.mcfunction", "mcfunction", -2, 0, -2, -2, -6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\arena\cant_join\too_many_players.mcfunction", "mcfunction", -2, 0, -2, -2, -6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\arena\check_join.mcfunction", "mcfunction", -3, 0, -5, -3, -11
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\arena\clear_fire.mcfunction", "mcfunction", 1, 0, 2, 1, 4
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\arena\in_lava.mcfunction", "mcfunction", 14, 0, 4, 4, 22
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\arena\join_arena.mcfunction", "mcfunction", -67, 0, -11, -18, -96
